	coll	measure	mfw	Cluster Errors	Adjusted Rand Index	Homogeneity	Completeness	V Measure	Purity	Entropy
ELTeC-fra_cosine-d_0010	ELTeC-fra	cosine-d	0010	7.0	0.47570621468926555	0.7831616673893365	0.8081404078706297	0.7954549914217452	0.7333333333333333	0.2168383326106635
ELTeC-fra_burrows-d_0010	ELTeC-fra	burrows-d	0010	8.0	0.4185089974293059	0.7341882561471547	0.7872390767145411	0.7597887489201379	0.7333333333333333	0.2658117438528449
ELTeC-fra_eders-d_0010	ELTeC-fra	eders-d	0010	12.0	0.2790960451977401	0.6739822570143584	0.6963851032790844	0.6850005586220473	0.6	0.3260177429856411
ELTeC-fra_cosine-d_0020	ELTeC-fra	cosine-d	0020	6.0	0.5314763231197771	0.8118072098848426	0.8368342686440507	0.8241307787186596	0.8	0.18819279011515744
ELTeC-fra_burrows-d_0020	ELTeC-fra	burrows-d	0020	7.0	0.41858190709046456	0.7344474585162317	0.8046075586183463	0.767928332582176	0.7	0.26555254148376833
ELTeC-fra_eders-d_0020	ELTeC-fra	eders-d	0020	6.0	0.499492385786802	0.7853975027251154	0.8390024858614233	0.8113155156435422	0.7333333333333333	0.21460249727488445
ELTeC-fra_cosine-d_0030	ELTeC-fra	cosine-d	0030	3.0	0.7302325581395349	0.8986545847108676	0.9155138062479689	0.9070058583878192	0.8666666666666667	0.10134541528913228
ELTeC-fra_burrows-d_0030	ELTeC-fra	burrows-d	0030	4.0	0.5770833333333333	0.8308737928613027	0.8825491371550037	0.8559322233039912	0.8	0.16912620713869725
ELTeC-fra_eders-d_0030	ELTeC-fra	eders-d	0030	6.0	0.521978021978022	0.8042324171680738	0.8355501928067011	0.8195922400183526	0.7666666666666667	0.1957675828319262
ELTeC-fra_cosine-d_0040	ELTeC-fra	cosine-d	0040	2.0	0.7839541547277937	0.9187232510884662	0.9432378429582897	0.9308191673854077	0.9	0.08127674891153354
ELTeC-fra_burrows-d_0040	ELTeC-fra	burrows-d	0040	5.0	0.5740112994350283	0.8308737928613027	0.8573742993451993	0.8439160562802075	0.8	0.16912620713869725
ELTeC-fra_eders-d_0040	ELTeC-fra	eders-d	0040	4.0	0.5868073878627968	0.8357928738053639	0.8831596302070815	0.8588236424644284	0.8	0.164207126194636
ELTeC-fra_cosine-d_0050	ELTeC-fra	cosine-d	0050	3.0	0.6930362116991643	0.8825029158761917	0.9141003548658237	0.8980237782149614	0.8666666666666667	0.11749708412380837
ELTeC-fra_burrows-d_0050	ELTeC-fra	burrows-d	0050	2.0	0.7450549450549451	0.9072314608287748	0.9425601428565247	0.924558435251913	0.8666666666666667	0.09276853917122496
